seed,gain,coh,n,p_net,p_mod
50,1.0,0.09,163,0.9570552147239264,0.9649392281344372
50,1.0,0.12,191,0.9947643979057592,0.9956539069366017
50,1.0,0.15,196,1.0,0.9998220653106372
50,1.2,-0.15,214,0.0,0.0009110206962328511
50,1.2,-0.12,168,0.0,0.0077098297465342785
50,1.2,-0.09,155,0.025806451612903226,0.02612561056540817
50,1.2,-0.06,183,0.0546448087431694,0.07192351038529696
50,1.2,-0.03,187,0.2192513368983957,0.21116883099536327
50,1.2,0.0,180,0.4666666666666667,0.43627491760405845
50,1.2,0.03,186,0.6397849462365591,0.6522450924107118
50,1.2,0.06,177,0.8870056497175142,0.8517456746453628
50,1.2,0.09,163,0.9447852760736196,0.9513715210191689
50,1.2,0.12,191,0.9790575916230366,0.9900556819227018
50,1.2,0.15,196,0.9948979591836735,0.9973927335560523
51,0.8,-0.15,214,0.0,0.00010089233169028046
51,0.8,-0.12,168,0.005952380952380952,0.0046018289856508375
51,0.8,-0.09,155,0.012903225806451613,0.009145014747393295
51,0.8,-0.06,183,0.0273224043715847,0.041714302247505594
51,0.8,-0.03,187,0.11229946524064172,0.13147232154766775
51,0.8,0.0,180,0.31666666666666665,0.29989068157912857
51,0.8,0.03,186,0.4731182795698925,0.5059757083272246
51,0.8,0.06,177,0.751412429378531,0.7323669243533658
51,0.8,0.09,163,0.8895705521472392,0.8837263709171052
51,0.8,0.12,191,0.9633507853403142,0.9697351084066694
51,0.8,0.15,196,1.0,0.9951183739688253
51,1.0,-0.15,214,0.0,6.296746082062041e-05
51,1.0,-0.12,168,0.0,0.0015798421714338404
51,1.0,-0.09,155,0.0064516129032258064,0.007219151138821507
51,1.0,-0.06,183,0.03825136612021858,0.027927404226368746
51,1.0,-0.03,187,0.1443850267379679,0.11735612593090734
51,1.0,0.0,180,0.3277777777777778,0.31432849218889447
51,1.0,0.03,186,0.543010752688172,0.5514830833446357
51,1.0,0.06,177,0.807909604519774,0.8006929052375213
51,1.0,0.09,163,0.9141104294478528,0.9357488097147443
51,1.0,0.12,191,0.9738219895287958,0.9888033018627796
51,1.0,0.15,196,0.9948979591836735,0.9982962612081087
51,1.2,-0.15,214,0.0,0.00221239331997161
51,1.2,-0.12,168,0.005952380952380952,0.012203606679020746
51,1.2,-0.09,155,0.025806451612903226,0.0341276331014484
