bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
2.5,1.0,0.5,0.09,False,367,165.0,0.0537020778460637,154.50437499999998,0.06963955752217887,80
2.5,1.0,0.5,0.09,True,6467,177.0,0.9462979221539362,165.864375,0.9303604424778211,80
2.5,1.0,0.5,0.12,False,144,126.5,0.0212860310421286,127.03562499999998,0.03159986403157876,80
2.5,1.0,0.5,0.12,True,6621,149.0,0.9787139689578714,139.95499999999998,0.9684001359684213,80
2.5,1.0,0.5,0.15,False,62,129.5,0.0090949097843626,106.12437500000001,0.014454421935892376,80
2.5,1.0,0.5,0.15,True,6755,121.0,0.9909050902156372,119.51749999999997,0.9855455780641076,80
2.5,1.0,0.75,0.0,False,1521,395.0,0.501318391562294,375.82750000000004,0.5000101887810673,80
2.5,1.0,0.75,0.0,True,1513,401.0,0.498681608437706,373.8475000000001,0.4999898112189326,80
2.5,1.0,0.75,0.03,False,1669,380.0,0.2728907782864617,359.08875,0.295404113278728,80
2.5,1.0,0.75,0.03,True,4447,370.5,0.7271092217135383,362.88531250000005,0.704595886721272,80
2.5,1.0,0.75,0.06,False,839,347.5,0.1308484092326887,314.33281250000005,0.1495123823130687,80
2.5,1.0,0.75,0.06,True,5573,346.0,0.8691515907673113,324.47093750000005,0.8504876176869312,80
2.5,1.0,0.75,0.09,False,367,257.5,0.0537020778460637,260.35437500000006,0.06963955752217887,80
2.5,1.0,0.75,0.09,True,6467,289.0,0.9462979221539362,273.01187500000003,0.9303604424778211,80
2.5,1.0,0.75,0.12,False,144,215.0,0.0212860310421286,207.2696875,0.03159986403157876,80
2.5,1.0,0.75,0.12,True,6621,236.0,0.9787139689578714,223.1540625,0.9684001359684213,80
2.5,1.0,0.75,0.15,False,62,193.5,0.0090949097843626,166.3075,0.014454421935892376,80
2.5,1.0,0.75,0.15,True,6755,189.0,0.9909050902156372,184.02406249999999,0.9855455780641076,80
2.5,1.2,0.25,0.0,False,1698,92.0,0.5014766686355582,91.3496875,0.4991825293723995,80
2.5,1.2,0.25,0.0,True,1688,102.0,0.4985233313644418,91.706875,0.5008174706276005,80
2.5,1.2,0.25,0.03,False,2126,101.0,0.3167933243927879,88.6603125,0.3278627920487911,80
2.5,1.2,0.25,0.03,True,4585,92.0,0.683206675607212,90.0196875,0.6721372079512089,80
2.5,1.2,0.25,0.06,False,1257,92.0,0.1857543963351559,81.56593749999999,0.1929218197501453,80
2.5,1.2,0.25,0.06,True,5510,89.0,0.8142456036648441,84.07874999999999,0.8070781802498546,80
2.5,1.2,0.25,0.09,False,675,83.0,0.0959079283887468,73.146875,0.10500299046541199,80
2.5,1.2,0.25,0.09,True,6363,80.0,0.9040920716112532,76.76656249999999,0.8949970095345879,80
2.5,1.2,0.25,0.12,False,320,66.75,0.0463096960926193,65.81781249999999,0.056049504144404974,80
2.5,1.2,0.25,0.12,True,6590,72.0,0.9536903039073806,69.18031249999999,0.9439504958555951,80
2.5,1.2,0.25,0.15,False,153,73.0,0.0219827586206896,59.22125,0.028389489597532812,80
2.5,1.2,0.25,0.15,True,6807,64.0,0.9780172413793105,62.88656249999999,0.9716105104024673,80
