seed,gain,n,acc,slope,w0,w1,w2,w3,w4,w5,w6,w7
52,0.8,2000,0.8545,0.035177962452347875,0.035648322450161446,0.06807575902336634,0.06324952607220649,0.05703250087783882,0.12167463479137627,0.13841884718983888,0.17829353259295197,0.33760687686199853
52,1.0,2000,0.876,0.007970551517699525,0.13556013816070828,0.09079756946509378,0.11009005287294418,0.09479626232883884,0.11768993830198494,0.11367177735320542,0.16148176869482286,0.17591249272130607
52,1.2,2000,0.862,-0.021528419317289736,0.23936086687923702,0.16007710252624838,0.1553676051372648,0.09846973861802079,0.1013162504255,0.09912853247218545,0.09528213121353081,0.050997772607666705
53,0.8,2000,0.844,0.04919555924065936,0.002743831231971395,0.01214500726554658,0.03677663423820263,0.07994949776689154,0.10633651763959569,0.14676934214291815,0.22548024978485864,0.38979891980796805
53,1.0,2000,0.8775,0.016422684864615726,0.08336721639037928,0.08282702604387411,0.0874548410782585,0.1087636510861829,0.13191335935459483,0.13899638679689758,0.1836529029774404,0.18302461618117363
53,1.2,2000,0.8695,-0.016760564941584986,0.20330350690575022,0.16754440112936678,0.14286546237923048,0.1067032074403841,0.09928120128445618,0.11046125777997973,0.11564651096655469,0.0541944520021217
54,0.8,2000,0.833,0.05427755092302087,0.009931435468543711,0.008678266994535949,0.022561604720053086,0.045742594437664444,0.09131752269693852,0.13400968577777705,0.2610028695281852,0.42675602024469544
54,1.0,2000,0.877,0.01294015979865717,0.09286921985685154,0.08416140917257713,0.09750449693092478,0.12204168687058083,0.13605384513811392,0.11959363997097154,0.17842224659209355,0.16935345537141536
54,1.2,2000,0.8725,-0.016266973549285565,0.22049580116326886,0.14052752144633107,0.13470897751305194,0.14378893361181205,0.09566597387376304,0.07687926454358093,0.10712007911869058,0.08081344861250836
55,0.8,2000,0.8545,0.04333973489256454,0.023117872670987763,0.033876980796319546,0.04146195787326369,0.08256245273978606,0.0628363966282799,0.17755357607406566,0.23346819827806772,0.3451225648246708
